C04	Make room for	 the main display.	Nine little faces worth putting front and center. Bring home the complete collection and give your favorite corner a proper cast.	A display with a point of view	Start with the whole gang. Play with heights, group the colors, and let those unmistakable faces do the rest.	Give them the spotlight.	Your next display starts with all nine.
C07	The best part?	Making it yours.	One complete set. Countless little rearrangements. Nine separate plushes to line up, mix around, and fall for all over again.	The arrangement is part of the fun	Try a color story today and a new favorite up front tomorrow. Each plush is separate, so the scene is yours to change.	Arrange your own little world.	All nine included. The first arrangement is up to you.
C09	You kept the story.	Give it a place.	Some favorites stay with you. These nine little disguises bring that familiar feeling into the room you have made your own.	A collection that feels like you	A familiar silhouette, a crooked little smile, a color you remember. Display the whole cast alongside the things you never stopped loving.	Make room for an old feeling.	Nine new additions to a story that is already yours.
E04	Nine designs.	One complete set.	The full collection, with nothing left to choose. Nine separate plushes, one of every pictured design, ready for your own arrangement.	The satisfaction of the full picture	Warm tan through pink ribbon: every color has a place. Keep the group together and see how the nine silhouettes work as one collection.	Complete looks good on you.	One set brings every pictured design home.
E07	Too many favorites?	Keep them all.	The bright one. The moody one. The one you noticed last. With all nine included, changing your mind is part of the fun.	Your favorites do not need a ranking	Pair the loud colors. Give the quieter ones their own corner. Make an arrangement as expressive as the things you love.	Keep the whole mood board.	Nine personalities. Plenty of room to have favorites.
E08	A quieter kind	 of mischief.	Nine distinctive silhouettes. Soft textures. A collection with enough character to hold your attention without asking for it.	Let the details set the tone	Arrange the colors together or give each silhouette room to stand out. The collection brings a playful contrast to a considered space.	A place for all nine.	Bring the complete collection into your own setting.
E09	From 01 to 09.	Every one included.	Follow the colors, spot the details, count the little faces. The complete index becomes a collection you can hold.	One collection, nine individual characters	Explore the full lineup below. Each pictured design is a separate plush, with its own ears, colors, and little disguise.	Finish the index.	All nine pictured designs arrive as one complete set.
G02	You remembered	 their favorite.	That is the lovely part. The surprise is that their favorite comes with the whole little gang: nine plushes, one of every design.	A gift that says you noticed	Think of the one they would reach for first. Then picture them discovering the other eight. The full set lets their favorites keep changing.	Bring their favorite some company.	All nine included. Gift wrapping and display props are not included.
G06	Thinking of you.	Something to keep.	Some messages deserve a little company. Send the complete nine-plush collection as a tangible reminder of someone who knows them.	A place in their everyday	On a desk, beside a book, or in their favorite corner, a little face can become part of the room they return to.	Make the thought tangible.	Nine small companions for someone on your mind.
G09	Plot twist:	This one is yours.	No birthday required. No person to shop for. Just nine little faces you want to come home to, all in one complete set.	You already know where they will go	That spot on the shelf. The corner of the bed. The desk that could use a little personality. This time, you are the person receiving the gift.	Put your own name on it.	Bring all nine home for yourself.
H01	The council	 has decided.	Your request for just one has been reviewed. The verdict: nine separate plushes, one complete collection, and a very full little meeting.	A place for every opinion	Give them a shelf and imagine the agenda. Which one runs the meeting? Which one never takes notes? The whole cast makes the joke yours.	Motion to bring them home?	All nine members are included in the set.
H06	Nine suspects.	One innocent purchase.	Nobody is admitting anything. Meet the complete cast of soft little troublemakers, each with a face that tells its own story.	The scene is yours to set	Line them up and pick your prime suspect. Move them to the shelf and start a different story. Nine separate characters give the mischief somewhere to go.	Take the whole lineup home.	Snacks and props are your department. All nine plushes are ours.
H07	Your kind	 of company.	Nine soft little faces. Zero small talk required. The complete collection brings its own cheerful energy to your favorite corner.	A full crew for a quiet moment	Settle into your room, put on something you like, and let the gang claim a spot nearby. Company can be this uncomplicated.	Make room for your crew.	All nine designs, ready for a place in your day.
I02	Spotted your match?	Meet the other eight.	The ears give one away. The little face makes you look again. Explore all nine designs in the complete collection.	Look for the little differences	Pointed ears, ribbons, a leafy outline: every silhouette brings a new detail to notice. The gallery shows each design before you choose the set.	Keep every match.	The whole lineup is included, whichever one caught your eye first.
L01	Your room.	Nine ways to belong.	Warm neutrals, bright accents, or a moodier corner. One complete collection gives you nine little personalities to arrange around your own style.	Start with the colors already around you	Try warm tan near wood, lavender beside a favorite print, or charcoal in a darker nook. Keep the gang together or create little moments around the room.	Make the room a little more you.	All nine included. Arrange them your way.
